Year-Month,Average Hourly Earnings Production Workers (Dollars),Average Hourly Earnings All Employees Total Private (Dollars),ECI Total Compensation (All Civilians) (Index Dec 2005=100),ECI Wages & Salaries (Private Industry) (Index Dec 2005=100),"Atlanta Fed Wage Growth Tracker (12mo MA, Overall) (Percent)",Atlanta Fed Wage Growth Tracker (Job Stayer) (Percent),Atlanta Fed Wage Growth Tracker (Job Switcher) (Percent),Atlanta Wage Tracker: 1st-25th Percentile (Percent),Atlanta Wage Tracker: 76th-100th Percentile (Percent),Median Usual Weekly Earnings (Real) (2024 Dollars),"Real Average Hourly Earnings, YoY (percent)"
YEAR,master-AHETPI,master-CES0500000003,master-ECIALLCIV,master-ECIWAG,master-FRBATLWGT12MMUMHGO,master-FRBATLWGT12MMUMHWGJST,master-FRBATLWGT12MMUMHWGJSW,master-FRBATLWGT12MMUMHWGWD1WP,master-FRBATLWGT12MMUMHWGWD76WP,master-LEU0252881600A,master-STAR_REAL_AHE_YOY
1964-01,2.5,,,,,,,,,,
1964-02,2.5,,,,,,,,,,
1964-03,2.51,,,,,,,,,,
1964-04,2.52,,,,,,,,,,
1964-05,2.52,,,,,,,,,,
1964-06,2.53,,,,,,,,,,
1964-07,2.54,,,,,,,,,,
1964-08,2.55,,,,,,,,,,
1964-09,2.56,,,,,,,,,,
1964-10,2.55,,,,,,,,,,
1964-11,2.56,,,,,,,,,,
1964-12,2.58,,,,,,,,,,
1965-01,2.58,,,,,,,,,,
1965-02,2.59,,,,,,,,,,
1965-03,2.61,,,,,,,,,,
1965-04,2.6,,,,,,,,,,
1965-05,2.62,,,,,,,,,,
1965-06,2.63,,,,,,,,,,
1965-07,2.63,,,,,,,,,,
1965-08,2.64,,,,,,,,,,
1965-09,2.65,,,,,,,,,,
1965-10,2.66,,,,,,,,,,
1965-11,2.67,,,,,,,,,,
1965-12,2.67,,,,,,,,,,
1966-01,2.68,,,,,,,,,,
1966-02,2.69,,,,,,,,,,
1966-03,2.7,,,,,,,,,,
1966-04,2.71,,,,,,,,,,
1966-05,2.72,,,,,,,,,,
1966-06,2.73,,,,,,,,,,
1966-07,2.74,,,,,,,,,,
1966-08,2.75,,,,,,,,,,
1966-09,2.76,,,,,,,,,,
1966-10,2.77,,,,,,,,,,
1966-11,2.78,,,,,,,,,,
1966-12,2.78,,,,,,,,,,
1967-01,2.8,,,,,,,,,,
1967-02,2.81,,,,,,,,,,
1967-03,2.81,,,,,,,,,,
1967-04,2.82,,,,,,,,,,
1967-05,2.83,,,,,,,,,,
1967-06,2.85,,,,,,,,,,
1967-07,2.86,,,,,,,,,,
1967-08,2.88,,,,,,,,,,
1967-09,2.88,,,,,,,,,,
1967-10,2.89,,,,,,,,,,
1967-11,2.91,,,,,,,,,,
1967-12,2.92,,,,,,,,,,
1968-01,2.94,,,,,,,,,,
1968-02,2.95,,,,,,,,,,
1968-03,2.97,,,,,,,,,,
1968-04,2.99,,,,,,,,,,
1968-05,3.0,,,,,,,,,,
1968-06,3.01,,,,,,,,,,
1968-07,3.03,,,,,,,,,,
1968-08,3.04,,,,,,,,,,
1968-09,3.07,,,,,,,,,,
1968-10,3.08,,,,,,,,,,
1968-11,3.1,,,,,,,,,,
1968-12,3.11,,,,,,,,,,
1969-01,3.12,,,,,,,,,,
1969-02,3.14,,,,,,,,,,
1969-03,3.16,,,,,,,,,,
1969-04,3.18,,,,,,,,,,
1969-05,3.19,,,,,,,,,,
1969-06,3.21,,,,,,,,,,
1969-07,3.22,,,,,,,,,,
1969-08,3.24,,,,,,,,,,
1969-09,3.26,,,,,,,,,,
1969-10,3.28,,,,,,,,,,
1969-11,3.3,,,,,,,,,,
1969-12,3.31,,,,,,,,,,
1970-01,3.31,,,,,,,,,,
1970-02,3.33,,,,,,,,,,
1970-03,3.36,,,,,,,,,,
1970-04,3.36,,,,,,,,,,
1970-05,3.37,,,,,,,,,,
1970-06,3.4,,,,,,,,,,
1970-07,3.41,,,,,,,,,,
1970-08,3.44,,,,,,,,,,
1970-09,3.45,,,,,,,,,,
1970-10,3.45,,,,,,,,,,
1970-11,3.47,,,,,,,,,,
1970-12,3.5,,,,,,,,,,
1971-01,3.53,,,,,,,,,,
1971-02,3.55,,,,,,,,,,
1971-03,3.56,,,,,,,,,,
1971-04,3.58,,,,,,,,,,
1971-05,3.61,,,,,,,,,,
1971-06,3.62,,,,,,,,,,
1971-07,3.63,,,,,,,,,,
1971-08,3.66,,,,,,,,,,
1971-09,3.67,,,,,,,,,,
1971-10,3.68,,,,,,,,,,
1971-11,3.7,,,,,,,,,,
1971-12,3.73,,,,,,,,,,
1972-01,3.8,,,,,,,,,,
1972-02,3.82,,,,,,,,,,
1972-03,3.84,,,,,,,,,,
1972-04,3.86,,,,,,,,,,
1972-05,3.88,,,,,,,,,,
1972-06,3.88,,,,,,,,,,
1972-07,3.9,,,,,,,,,,
1972-08,3.92,,,,,,,,,,
1972-09,3.94,,,,,,,,,,
1972-10,3.97,,,,,,,,,,
1972-11,3.99,,,,,,,,,,
1972-12,4.0,,,,,,,,,,
1973-01,4.03,,,,,,,,,,
1973-02,4.05,,,,,,,,,,
1973-03,4.06,,,,,,,,,,
1973-04,4.09,,,,,,,,,,
1973-05,4.1,,,,,,,,,,
1973-06,4.12,,,,,,,,,,
1973-07,4.15,,,,,,,,,,
1973-08,4.16,,,,,,,,,,
1973-09,4.2,,,,,,,,,,
1973-10,4.21,,,,,,,,,,
1973-11,4.24,,,,,,,,,,
1973-12,4.25,,,,,,,,,,
1974-01,4.27,,,,,,,,,,
1974-02,4.29,,,,,,,,,,
1974-03,4.32,,,,,,,,,,
1974-04,4.33,,,,,,,,,,
1974-05,4.4,,,,,,,,,,
1974-06,4.44,,,,,,,,,,
1974-07,4.45,,,,,,,,,,
1974-08,4.49,,,,,,,,,,
1974-09,4.53,,,,,,,,,,
1974-10,4.56,,,,,,,,,,
1974-11,4.57,,,,,,,,,,
1974-12,4.6,,,,,,,,,,
1975-01,4.61,,,,,,,,,,
1975-02,4.64,,,,,,,,,,
