year,productive_emp,unproductive_emp,productive_share,unproductive_share,segment
1964,22581.8,35812.6,38.67,61.33,ces_extension
1965,23510.5,37368.2,38.62,61.38,ces_extension
1966,24747.9,39277.1,38.65,61.35,ces_extension
1967,24967.5,40968.0,37.87,62.13,ces_extension
1968,25416.5,42610.2,37.36,62.64,ces_extension
1969,26108.2,44406.6,37.03,62.97,ces_extension
1970,25443.8,45563.6,35.83,64.17,ces_extension
1971,24838.4,46492.3,34.82,65.18,ces_extension
1972,25497.5,48290.0,34.56,65.44,ces_extension
1973,26735.1,50166.6,34.77,65.23,ces_extension
1974,26697.7,51685.3,34.06,65.94,ces_extension
1975,24518.5,52553.0,31.81,68.19,ces_extension
1976,25275.6,54231.8,31.79,68.21,ces_extension
1977,26330.9,56268.9,31.88,68.12,ces_extension
1978,27660.7,59168.4,31.86,68.14,ces_extension
1979,28637.2,61298.3,31.84,68.16,ces_extension
1980,27877.6,62654.0,30.79,69.21,ces_extension
1981,27725.8,63566.4,30.37,69.63,ces_extension
1982,26064.5,63620.1,29.06,70.94,ces_extension
1983,25587.3,64701.4,28.34,71.66,ces_extension
1984,27079.3,67463.3,28.64,71.36,ces_extension
1985,27318.4,70210.3,28.01,71.99,ces_extension
1986,27101.5,72396.0,27.24,72.76,ces_extension
1987,27351.4,74763.0,26.79,73.21,ces_extension
1988,27922.8,77452.5,26.5,73.5,ces_extension
1989,28163.5,79883.4,26.07,73.93,ces_extension
1990,27943.6,81584.3,25.51,74.49,ces_extension
1991,26792.1,81642.0,24.71,75.29,ces_extension
1992,26281.4,82509.9,24.16,75.84,ces_extension
1993,26483.8,84449.7,23.87,76.13,ces_extension
1994,27164.4,87221.6,23.75,76.25,ces_extension
1995,27663.2,89747.4,23.56,76.44,ces_extension
1996,27983.7,91836.7,23.35,76.65,ces_extension
1997,28525.1,94404.8,23.2,76.8,ces_extension
1998,29125.7,97009.5,23.09,76.91,ces_extension
1999,29364.5,99863.3,22.72,77.28,ces_extension
2000,29655.6,102362.0,22.46,77.54,ces_extension
2001,28834.5,103244.1,21.83,78.17,ces_extension
2002,27363.1,103270.7,20.95,79.05,ces_extension
2003,26564.1,103761.1,20.38,79.62,ces_extension
2004,26679.5,105075.8,20.25,79.75,ces_extension
2005,27088.3,106934.7,20.21,79.79,ces_extension
2006,27530.9,108901.8,20.18,79.82,ces_extension
2007,27304.6,110673.8,19.79,80.21,ces_extension
2008,26377.9,110848.5,19.22,80.78,ces_extension
2009,23332.8,107958.3,17.77,82.23,ces_extension
2010,22469.9,107864.8,17.24,82.76,ces_extension
2011,22872.1,109044.5,17.34,82.66,ces_extension
2012,23357.2,110797.3,17.41,82.59,ces_extension
2013,23754.2,112606.4,17.42,82.58,ces_extension
2014,24399.0,114523.7,17.56,82.44,ces_extension
2015,24992.7,116808.6,17.63,82.37,ces_extension
2016,25275.3,119056.6,17.51,82.49,ces_extension
2017,25784.5,120825.9,17.59,82.41,ces_extension
2018,26648.5,122245.2,17.9,82.1,ces_extension
2019,27213.3,123691.8,18.03,81.97,ces_extension
2020,26158.0,116004.0,18.4,81.6,ces_extension
2021,26995.1,119289.2,18.45,81.55,ces_extension
2022,28303.0,124246.2,18.55,81.45,ces_extension
2023,28686.5,127208.8,18.4,81.6,ces_extension
2024,28847.4,128846.4,18.29,81.71,ces_extension
2025,28748.7,129690.2,18.14,81.86,ces_extension
